word,pct,pct_per_decade
dorriville,0.033207048541959786,0.033207048541959786
altorf,0.04203270631094124,0.02101635315547062
madiboo,0.018765441493763732,0.018765441493763732
selico,0.018073627982472903,0.018073627982472903
pacomo,0.016862954337713953,0.016862954337713953
pufpace,0.016171140826423125,0.016171140826423125
brazzo,0.015392850626220943,0.015392850626220943
lescourt,0.01392274691472793,0.01392274691472793
rossberg,0.027246144257705156,0.013623072128852578
rheinthal,0.011414922936298677,0.011414922936298677
plotwell,0.01124196955847597,0.01124196955847597
fourbin,0.010982539491741909,0.010982539491741909
immorina,0.010982539491741909,0.010982539491741909
ridolpho,0.010809586113919202,0.010809586113919202
bertocci,0.010117772602628373,0.010117772602628373
demba,0.010117772602628373,0.010117772602628373
torribal,0.00985834253589431,0.00985834253589431
devalmore,0.009512435780248898,0.009512435780248898
erlach,0.03798414843890399,0.009496037109725998
lesc,0.009425959091337543,0.009425959091337543
ploughby,0.009253005713514836,0.009253005713514836
eberard,0.018079128529199746,0.009039564264599873
makesafe,0.008993575646780777,0.008993575646780777
ksenia,0.008993575646780777,0.008993575646780777
joblin,0.01790478666064324,0.00895239333032162
mentzikoff,0.00864766889113536,0.00864766889113536
usaldo,0.008561192202224007,0.008561192202224007
ubal,0.008474715513312654,0.008474715513312654
almeyda,0.01617525288241617,0.008087626441208084
hippolito,0.015397376118613748,0.007698688059306874
barogo,0.007609948624199118,0.007609948624199118
beraldo,0.01506111207267807,0.007530556036339035
hardrun,0.007523471935287764,0.007523471935287764
arandez,0.007350518557465057,0.007350518557465057
maillac,0.0070910884907309955,0.0070910884907309955
mahadi,0.0070910884907309955,0.0070910884907309955
bloomville,0.028236537330053768,0.007059134332513442
spendall,0.007004611801819643,0.007004611801819643
lanissa,0.006658705046174228,0.006658705046174228
spicket,0.00628660146031289,0.00628660146031289
ridol,0.006226321601617461,0.006226321601617461
shenac,0.006136931894485245,0.006136931894485245
rainouard,0.006053368223794753,0.006053368223794753
flaurence,0.005966891534883399,0.005966891534883399
wildenhain,0.01773494844651841,0.005911649482172803
cerval,0.011765144956731543,0.0058825724783657714
oresca,0.005793938157060692,0.005793938157060692
quicksite,0.005448031401415278,0.005448031401415278
darina,0.005361554712503924,0.005361554712503924
chetwynde,0.005291525951221922,0.005291525951221922
